"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"
"102"	1	4	16	64	1	0	0	1	0	1	0	0	0	1	24	576	0	0	0	0
"103"	0	6	36	216	0	0	0	0	0	1	0	1	0	1	24	576	0	0	0	0
"104"	1	2	4	8	0	0	0	0	0	0	0	1	0	1	24	576	0	0	0	0
"105"	1	3	9	27	0	0	0	0	0	1	0	1	0	1	24	576	0	0	0	0
"106"	1	12	144	1728	0	0	1	0	0	0	0	0	0	1	49	2401	0	1	0	0
"107"	0	2	4	8	0	0	0	0	0	0	0	0	0	0	40	1600	0	0	0	0
"108"	0	9	81	729	0	0	0	1	0	0	0	0	0	1	19	361	0	0	1	0
"109"	1	5	25	125	0	0	0	1	0	1	0	0	0	1	19	361	0	0	1	0
"110"	0	3	9	27	1	0	0	0	0	0	0	0	0	1	19	361	0	0	1	0
"111"	0	9	81	729	0	0	1	0	0	1	0	0	0	0	51	2601	0	0	0	0
"112"	1	7	49	343	1	0	0	0	0	1	0	0	0	0	72	5184	0	0	0	0
"113"	0	13	169	2197	1	0	0	0	0	0	0	0	0	0	72	5184	0	0	0	0
"114"	1	13	169	2197	0	0	0	0	0	0	0	0	0	0	72	5184	0	0	0	0
"115"	1	12	144	1728	0	0	0	1	0	0	0	0	0	0	21	441	0	0	0	0
"116"	0	4	16	64	0	0	1	0	0	0	0	0	0	0	21	441	0	0	0	0
"117"	1	8	64	512	0	0	1	0	0	1	0	0	0	1	28	784	0	0	0	0
"118"	0	13	169	2197	0	0	0	1	0	0	0	0	0	1	28	784	0	0	0	0
"119"	1	14	196	2744	0	0	0	0	0	0	0	0	0	1	28	784	0	0	0	0
"120"	1	4	16	64	0	0	0	0	0	1	0	0	0	1	28	784	0	0	0	0
"121"	1	4	16	64	0	0	1	0	0	1	0	1	0	0	41	1681	0	1	0	0
"122"	1	6	36	216	0	0	1	0	0	0	0	1	0	0	41	1681	0	1	0	0
"123"	0	6	36	216	0	0	1	0	0	0	0	1	0	0	38	1444	0	0	1	0
"124"	1	10	100	1000	0	0	0	1	0	1	0	0	0	0	23	529	0	0	0	0
"125"	0	6	36	216	1	0	1	0	0	0	0	0	1	1	30	900	0	0	0	0
"126"	1	3	9	27	1	0	1	0	0	0	0	0	1	1	30	900	0	0	0	0
"127"	0	4	16	64	1	0	1	0	0	0	0	0	1	1	30	900	0	0	0	0
"128"	1	11	121	1331	0	0	0	0	0	0	0	0	1	0	23	529	0	1	0	1
"129"	1	10	100	1000	1	0	0	0	0	0	0	0	1	0	23	529	0	1	0	1
"130"	0	0	0	0	0	0	1	0	0	1	0	0	1	0	33	1089	0	0	0	0
"131"	0	4	16	64	1	0	1	0	0	1	0	0	1	0	33	1089	0	0	0	0
"132"	1	11	121	1331	0	0	1	0	0	0	0	0	1	0	33	1089	0	0	0	0
"133"	0	4	16	64	0	0	1	0	0	1	0	0	1	0	33	1089	0	0	0	0
"134"	1	12	144	1728	0	0	1	0	0	0	0	0	1	0	33	1089	0	0	0	0
"135"	1	4	16	64	0	0	0	0	0	1	0	0	0	0	20	400	0	0	0	0
"136"	0	2	4	8	0	0	0	0	0	1	0	0	0	0	20	400	0	0	0	0
"137"	1	14	196	2744	0	0	0	1	0	0	0	0	0	0	17	289	0	0	0	0
"138"	0	8	64	512	0	1	0	0	0	0	0	0	0	0	28	784	0	0	0	0
"139"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	28	784	0	0	0	0
"140"	1	3	9	27	0	0	1	0	0	1	0	0	0	0	28	784	0	0	0	0
